2024-03-26 19:21:40,545 - MVC.controller.ai - INFO - angle parcourue 46.0, angle 90
2024-03-26 19:21:40,545 - MVC.controller.ai - INFO - angle parcourue 47.0, angle 90
2024-03-26 19:21:40,546 - MVC.controller.ai - INFO - angle parcourue 47.0, angle 90
2024-03-26 19:21:40,546 - MVC.controller.ai - INFO - angle parcourue 48.0, angle 90
2024-03-26 19:21:40,548 - MVC.controller.ai - INFO - angle parcourue 48.0, angle 90
2024-03-26 19:21:40,548 - MVC.controller.ai - INFO - angle parcourue 49.0, angle 90
2024-03-26 19:21:40,549 - MVC.controller.ai - INFO - angle parcourue 49.0, angle 90
2024-03-26 19:21:40,549 - MVC.controller.ai - INFO - angle parcourue 50.0, angle 90
2024-03-26 19:21:40,550 - MVC.controller.ai - INFO - angle parcourue 50.0, angle 90
2024-03-26 19:21:40,550 - MVC.controller.ai - INFO - angle parcourue 51.0, angle 90
2024-03-26 19:21:40,551 - MVC.controller.ai - INFO - angle parcourue 51.0, angle 90
2024-03-26 19:21:40,551 - MVC.controller.ai - INFO - angle parcourue 52.0, angle 90
2024-03-26 19:21:40,552 - MVC.controller.ai - INFO - angle parcourue 52.0, angle 90
2024-03-26 19:21:40,552 - MVC.controller.ai - INFO - angle parcourue 53.0, angle 90
2024-03-26 19:21:40,553 - MVC.controller.ai - INFO - angle parcourue 53.0, angle 90
2024-03-26 19:21:40,553 - MVC.controller.ai - INFO - angle parcourue 54.0, angle 90
2024-03-26 19:21:40,554 - MVC.controller.ai - INFO - angle parcourue 54.0, angle 90
2024-03-26 19:21:40,554 - MVC.controller.ai - INFO - angle parcourue 55.0, angle 90
2024-03-26 19:21:40,556 - MVC.controller.ai - INFO - angle parcourue 55.0, angle 90
2024-03-26 19:21:40,556 - MVC.controller.ai - INFO - angle parcourue 56.0, angle 90
2024-03-26 19:21:40,557 - MVC.controller.ai - INFO - angle parcourue 56.0, angle 90
2024-03-26 19:21:40,557 - MVC.controller.ai - INFO - angle parcourue 57.0, angle 90
2024-03-26 19:21:40,558 - MVC.controller.ai - INFO - angle parcourue 57.0, angle 90
2024-03-26 19:21:40,558 - MVC.controller.ai - INFO - angle parcourue 58.0, angle 90
2024-03-26 19:21:40,559 - MVC.controller.ai - INFO - angle parcourue 58.0, angle 90
2024-03-26 19:21:40,559 - MVC.controller.ai - INFO - angle parcourue 59.0, angle 90
2024-03-26 19:21:40,560 - MVC.controller.ai - INFO - angle parcourue 59.0, angle 90
2024-03-26 19:21:40,561 - MVC.controller.ai - INFO - angle parcourue 60.0, angle 90
2024-03-26 19:21:40,562 - MVC.controller.ai - INFO - angle parcourue 60.0, angle 90
2024-03-26 19:21:40,562 - MVC.controller.ai - INFO - angle parcourue 61.0, angle 90
2024-03-26 19:21:40,563 - MVC.controller.ai - INFO - angle parcourue 61.0, angle 90
2024-03-26 19:21:40,563 - MVC.controller.ai - INFO - angle parcourue 62.0, angle 90
2024-03-26 19:21:40,564 - MVC.controller.ai - INFO - angle parcourue 62.0, angle 90
2024-03-26 19:21:40,564 - MVC.controller.ai - INFO - angle parcourue 63.0, angle 90
2024-03-26 19:21:40,565 - MVC.controller.ai - INFO - angle parcourue 63.0, angle 90
2024-03-26 19:21:40,565 - MVC.controller.ai - INFO - angle parcourue 64.0, angle 90
2024-03-26 19:21:40,566 - MVC.controller.ai - INFO - angle parcourue 64.0, angle 90
2024-03-26 19:21:40,566 - MVC.controller.ai - INFO - angle parcourue 65.0, angle 90
2024-03-26 19:21:40,567 - MVC.controller.ai - INFO - angle parcourue 65.0, angle 90
2024-03-26 19:21:40,567 - MVC.controller.ai - INFO - angle parcourue 66.0, angle 90
2024-03-26 19:21:40,569 - MVC.controller.ai - INFO - angle parcourue 66.0, angle 90
2024-03-26 19:21:40,569 - MVC.controller.ai - INFO - angle parcourue 67.0, angle 90
2024-03-26 19:21:40,570 - MVC.controller.ai - INFO - angle parcourue 67.0, angle 90
2024-03-26 19:21:40,570 - MVC.controller.ai - INFO - angle parcourue 68.0, angle 90
2024-03-26 19:21:40,571 - MVC.controller.ai - INFO - angle parcourue 68.0, angle 90
2024-03-26 19:21:40,571 - MVC.controller.ai - INFO - angle parcourue 69.0, angle 90
2024-03-26 19:21:40,572 - MVC.controller.ai - INFO - angle parcourue 69.0, angle 90
2024-03-26 19:21:40,572 - MVC.controller.ai - INFO - angle parcourue 70.0, angle 90
2024-03-26 19:21:40,573 - MVC.controller.ai - INFO - angle parcourue 70.0, angle 90
2024-03-26 19:21:40,573 - MVC.controller.ai - INFO - angle parcourue 71.0, angle 90
2024-03-26 19:21:40,575 - MVC.controller.ai - INFO - angle parcourue 71.0, angle 90
