2024-03-26 20:17:15,380 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,381 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,381 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,381 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,382 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,382 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,382 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,383 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,383 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,384 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,384 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,384 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,384 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,385 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,385 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,386 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,386 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,386 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,387 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,387 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,387 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,388 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,388 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,388 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,389 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,389 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,389 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,390 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,390 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,391 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,391 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,391 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,392 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,393 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,393 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,393 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,393 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,394 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,394 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,395 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,395 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,395 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,395 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,396 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,396 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
